Name,ATCC Number,Isolation Source (Where found),Culture Medium,Incubation Temperature,Atmosphere,Biosafety Level,Product Sheet,ATCC Product Link
Serratia marcescens , subsp marcescens,Pond water,ATCC Medium 3: Nutrient agar or nutrient broth,26°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=13880,https://www.atcc.org/products/13880
Klebsiella oxytoca,ATCC 700324,N/A,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=700324,https://www.atcc.org/products/700324
Klebsiella oxytoca,ATCC 700324,N/A,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=700324,https://www.atcc.org/products/700324
Enterococcus faecalis,ATCC 19433,N/A,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19433,https://www.atcc.org/products/19433
Enterococcus faecalis,ATCC 19433,N/A,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19433,https://www.atcc.org/products/19433
Klebsiella planticola,ATCC 700831,N/A,ATCC Medium 18: Trypticase Soy Agar/Broth,26°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=700831,https://www.atcc.org/products/700831
Klebsiella planticola,ATCC 700831,N/A,ATCC Medium 18: Trypticase Soy Agar/Broth,26°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=700831,https://www.atcc.org/products/700831
Streptococcus pyogenes,ATCC 19615,Pharynx of child following episode of sore throat,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,"95% Air, 5% CO2",BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19615,https://www.atcc.org/products/19615
Streptococcus pyogenes,ATCC 19615,Pharynx of child following episode of sore throat,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,"95% Air, 5% CO2",BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19615,https://www.atcc.org/products/19615
Enteroccus faecium,ATCC 19434,N/A,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19434,https://www.atcc.org/products/19434
Enteroccus faecium,ATCC 19434,N/A,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19434,https://www.atcc.org/products/19434
Klebsiella pneumoniae, subsp. pneumoniae,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=13883,https://www.atcc.org/products/13883
Klebsiella pneumoniae, subsp. pneumoniae,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=13883,https://www.atcc.org/products/13883
Streptococcus agalactiae,ATCC 13813,N/A,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=13813,https://www.atcc.org/products/13813
Streptococcus agalactiae,ATCC 13813,N/A,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=13813,https://www.atcc.org/products/13813
Proteus mirabilis,ATCC 29906,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=29906,https://www.atcc.org/products/29906
Proteus mirabilis,ATCC 29906,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=29906,https://www.atcc.org/products/29906
Achromobacter xylosoxidans,ATCC 27061,Ear discharge,ATCC Medium 3: Nutrient agar or nutrient broth,30°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27061,https://www.atcc.org/products/27061
Achromobacter xylosoxidans,ATCC 27061,Ear discharge,ATCC Medium 3: Nutrient agar or nutrient broth,30°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27061,https://www.atcc.org/products/27061
Erysipelothrix rhusiopathiae,ATCC 19414,Spleen of pig with endocarditis,ATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,"95% Air, 5% CO2",BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19414,https://www.atcc.org/products/19414
