Organism Source,"Strain (Genus, species)",Isolation Source (Where found),Culture Medium,Incubation Temperature,Atmosphere,Biosafety Level,Product Sheet,ATCC Product Link
NBF,#2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 607,Presum. Acid Fast Bacilli,Human,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=607,https://www.atcc.org/products/607
ATCC 607,Presum. Acid Fast Bacilli,Human,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=607,https://www.atcc.org/products/607
ATCC 25175,Streptococcus mutans,Carious dentine,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=25175,https://www.atcc.org/products/25175
ATCC 25175,Streptococcus mutans,Carious dentine,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=25175,https://www.atcc.org/products/25175
ATCC 25923,Staphylococcus aureus 10/2,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 25923,Staphylococcus aureus 10/2,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 25922,Escherichia coli,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=25922,https://www.atcc.org/products/25922
ATCC 25922,Escherichia coli,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=25922,https://www.atcc.org/products/25922
ATCC 13880,"Serratia marcescens , subsp marcescens",Pond water,ATCC Medium 3: Nutrient agar or nutrient broth,26°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=13880,https://www.atcc.org/products/13880
ATCC 13880,"Serratia marcescens , subsp marcescens",Pond water,ATCC Medium 3: Nutrient agar or nutrient broth,26°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=13880,https://www.atcc.org/products/13880
ATCC 700324,Klebsiella oxytoca,N/A,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=700324,https://www.atcc.org/products/700324
ATCC 700324,Klebsiella oxytoca,N/A,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=700324,https://www.atcc.org/products/700324
